subject,predicate,object,sentence,source_file,chunk_id
he,admires,ingenuity,"Eryndor feels conflicted about these groups; while he admires their ingenuity, he despises their disregard for nature’s balance.",Eryndor_Leafshade.docx,0
he,despises,disregard,"Eryndor feels conflicted about these groups; while he admires their ingenuity, he despises their disregard for nature’s balance.",Eryndor_Leafshade.docx,0
gorath,views,himself,"Gorath views himself as the sole protector of Mt. Dorn, believing its riches are sacred and must not fall into the hands of outsiders.",Gorath_the_Goblin_King.docx,0
he,sees,which,"His hatred for the gnomes stems from their relentless attempts to mine his mountain, which he sees as an affront to his sovereignty.",Gorath_the_Goblin_King.docx,0
who,prove,strength,Gorath is deeply distrustful of outsiders but harbors a grudging respect for those who prove their strength or cunning.,Gorath_the_Goblin_King.docx,0
gorath,has,spot,"Despite his brutal exterior, Gorath has a soft spot for his goblin kin, often secretly aiding struggling goblin families in his domain.",Gorath_the_Goblin_King.docx,0
vents,create,oases,"Hydrothermal vents create oases of warmth and nutrients, supporting complex ecosystems.",The_Abyssal_Realm.docx,0
each,holding,treasures,"The Abyssal Realm is dotted with the ruins of ancient civilizations, sunken cities, and shipwrecks, each holding untold treasures and mysteries.",The_Abyssal_Realm.docx,0
energies,permeate,areas,"Strange energies permeate certain areas, creating pockets where the laws of nature seem to warp and twist.",The_Abyssal_Realm.docx,0
he,harbors,hatred,"He harbors an intense hatred for Gorath, whom he sees as an obstacle to gnomish prosperity.",Thalric_Ironbeard.docx,0
he,sees,whom,"He harbors an intense hatred for Gorath, whom he sees as an obstacle to gnomish prosperity.",Thalric_Ironbeard.docx,0
thalric,rallying,support,Thalric has been rallying support among neighboring factions to pressure or overthrow the Goblin King but struggles with internal dissent from more pacifist gnomes.,Thalric_Ironbeard.docx,0
talyss,give,gold,"If the player can get there in time, Talyss will give the player 50 gold.",FindingMtDorn_quest.docx,0
talyss,give,quests,"If the player fails, Talyss will not give any more quests to the player and they will reduce the player’s reputation with all factions other than the Goblins.",FindingMtDorn_quest.docx,0
they,reduce,reputation,"If the player fails, Talyss will not give any more quests to the player and they will reduce the player’s reputation with all factions other than the Goblins.",FindingMtDorn_quest.docx,0
player,make,it,The player must make it to Mt. Dorn within the next 40 turns to succeed.,FindingMtDorn_quest.docx,0
that,calm,storms,"Talyss Wavecaller
Talyss is a priestess of the Deepkin, known for her hauntingly beautiful voice that can calm storms or summon tidal waves depending on her intent.",Talyss_Wavecaller.docx,0
she,wears,jewelry,"Her bioluminescent skin glows with soft blue patterns that shift like ocean currents, and she wears ceremonial coral jewelry that signifies her high rank within Deepkin society.",Talyss_Wavecaller.docx,0
that,signifies,rank,"Her bioluminescent skin glows with soft blue patterns that shift like ocean currents, and she wears ceremonial coral jewelry that signifies her high rank within Deepkin society.",Talyss_Wavecaller.docx,0
she,views,dwellers,She views surface dwellers with suspicion but is willing to negotiate if it serves the greater good of her people.,Talyss_Wavecaller.docx,0
it,serves,good,She views surface dwellers with suspicion but is willing to negotiate if it serves the greater good of her people.,Talyss_Wavecaller.docx,0
talyss,has,relationship,"Talyss has a tense relationship with Korran Tidebreaker, whom she sees as too reckless in his dealings with outsiders.",Talyss_Wavecaller.docx,0
she,sees,whom,"Talyss has a tense relationship with Korran Tidebreaker, whom she sees as too reckless in his dealings with outsiders.",Talyss_Wavecaller.docx,0
dwellers,disrupt,balance,"Her ultimate motivation is to maintain harmony within the Abyssal Realm while ensuring that surface-dwellers do not disrupt its delicate balance.
",Talyss_Wavecaller.docx,0
who,spent,most,"Korrik Deepdelve
Korrik is a grizzled miner who has spent most of his life exploring the deepest tunnels of the Ironroot Range.",Korrik_Deepdelve.docx,0
he,has,sense,"He has an almost supernatural sense for finding valuable ore veins but harbors deep resentment toward Thalric’s leadership, believing it prioritizes politics over tradition.",Korrik_Deepdelve.docx,0
it,prioritizes,politics,"He has an almost supernatural sense for finding valuable ore veins but harbors deep resentment toward Thalric’s leadership, believing it prioritizes politics over tradition.",Korrik_Deepdelve.docx,0
riches,secure,future,"Korrik dreams of leading an expedition into Mt. Dorn himself, convinced that its riches could secure the gnomes’ future forever—but he also fears Gorath’s wrath should they fail.
",Korrik_Deepdelve.docx,0
he,fears,wrath,"Korrik dreams of leading an expedition into Mt. Dorn himself, convinced that its riches could secure the gnomes’ future forever—but he also fears Gorath’s wrath should they fail.
",Korrik_Deepdelve.docx,0
who,dedicates,life,"Lyssara Abyssglow
Lyssara is an enigmatic scholar among the Deepkin who dedicates her life to studying ancient ruins scattered across the Abyssal Realm.",Lyssara_Abyssglow.docx,0
she,carries,aura,"Her ghostly white bioluminescence makes her stand out even among her own kind, and she carries an aura of quiet intensity wherever she goes.",Lyssara_Abyssglow.docx,0
she,has,interest,She has little interest in politics but often advises Talyss on matters related to ancient rituals or artifacts.,Lyssara_Abyssglow.docx,0
lyssara,views,expeditions,Lyssara views Korran’s surface expeditions as reckless but secretly envies his courage to explore beyond their watery domain.,Lyssara_Abyssglow.docx,0
that,shape,future,"Her ultimate motivation is to uncover secrets from the past that could shape the future of not just the Deepkin but all who dwell in their world.
",Lyssara_Abyssglow.docx,0
valleys,hide,lakes,Mist-shrouded valleys hide crystal-clear lakes fed by glacial meltwater.,The_Ironroot_Range.docx,0
mountains,harbor,secrets,"The mountains also harbor secrets: hidden hot springs, caves of quartz crystals, and remnants of ancient, long-forgotten civilizations.",The_Ironroot_Range.docx,0
that,strengthen,position,"Korran Tidebreaker
Korran is a bold and ambitious Deepkin warrior who often ventures to the surface world in search of resources or alliances that could strengthen his people’s position in an ever-changing oceanic landscape.",Korran_Tidebreaker.docx,0
he,admires,dwellers,He admires surface dwellers for their ingenuity but also sees them as dangerous intruders who must be carefully managed.,Korran_Tidebreaker.docx,0
that,signify,clan,"Each gnome sports a beard, regardless of gender, often intricately braided and adorned with metallic trinkets that signify their clan and profession.",The_Gnomes.docx,0
they,have,reverence,"They have a deep reverence for the mountains they inhabit, seeing their mining not as exploitation but as a sacred duty to unearth the treasures hidden within the earth.",The_Gnomes.docx,0
worldview,puts,them,"This worldview puts them at odds with the Goblin King, whom they see as a selfish hoarder denying the world the bounty of Mt. Dorn.",The_Gnomes.docx,0
they,see,whom,"This worldview puts them at odds with the Goblin King, whom they see as a selfish hoarder denying the world the bounty of Mt. Dorn.",The_Gnomes.docx,0
